booking_id,booking_date,customer_id,camper_id,pickup_date,rental_days,dropoff_date,pickup_location,dropoff_location,booking_channel,base_price,total_price,booking_status,addons,season
BK00000,2024-01-04,CUST00536,RV00972,2024-01-08,12,2024-01-20,LOC015,LOC063,Walk-in,74,888,Completed,Bike Rack,Fall
BK00001,2023-01-20,CUST31935,RV00830,2023-02-26,2,2023-02-28,LOC008,LOC043,Online,129,258,Completed,BBQ Kit,Summer
BK00002,2024-07-01,CUST02200,RV00411,2024-08-10,13,2024-08-23,LOC006,LOC001,Online,72,936,Completed,Child Seat,Summer
BK00003,2023-06-28,CUST43422,RV00812,2023-08-30,12,2023-09-11,LOC069,LOC013,Online,176,2112,Completed,BBQ Kit,Summer
BK00004,2022-08-08,CUST48470,RV00043,2022-10-15,5,2022-10-20,LOC085,LOC010,App,85,425,Completed,Bike Rack,Spring
BK00005,2023-05-03,CUST47917,RV00777,2023-05-20,7,2023-05-27,LOC084,LOC007,Walk-in,150,1050,Completed,Bedding,Spring
BK00006,2024-09-11,CUST39017,RV00281,2024-12-01,3,2024-12-04,LOC076,LOC021,Walk-in,113,339,Completed,Bike Rack,Fall
BK00007,2022-04-30,CUST12065,RV00327,2022-06-17,12,2022-06-29,LOC049,LOC071,Online,180,2160,Completed,BBQ Kit,Winter
BK00008,2024-12-11,CUST30987,RV00668,2024-12-30,12,2025-01-11,LOC016,LOC003,Online,136,1632,Completed,BBQ Kit,Spring
BK00009,2023-07-31,CUST06490,RV00743,2023-10-25,9,2023-11-03,LOC080,LOC045,App,91,819,Completed,Child Seat,Summer
BK00010,2025-01-14,CUST32026,RV00945,2025-02-22,5,2025-02-27,LOC035,LOC033,Walk-in,93,465,Completed,Bedding,Summer
BK00011,2023-06-25,CUST18869,RV00345,2023-08-29,3,2023-09-01,LOC076,LOC093,App,199,597,Completed,Bike Rack,Spring
BK00012,2024-11-24,CUST25847,RV00924,2025-01-16,2,2025-01-18,LOC084,LOC048,App,184,368,Completed,Bedding,Summer
BK00013,2024-09-06,CUST41067,RV00346,2024-09-24,9,2024-10-03,LOC082,LOC069,App,124,1116,Completed,BBQ Kit,Winter
BK00014,2023-04-08,CUST25900,RV00502,2023-05-17,11,2023-05-28,LOC021,LOC029,Walk-in,132,1452,Completed,BBQ Kit,Winter
BK00015,2023-05-07,CUST43923,RV00971,2023-07-06,2,2023-07-08,LOC004,LOC086,App,167,334,Completed,Bike Rack,Fall
BK00016,2023-06-17,CUST21704,RV00793,2023-09-02,8,2023-09-10,LOC064,LOC026,Partner,168,1344,Completed,Bedding,Spring
BK00017,2024-05-08,CUST09719,RV00320,2024-06-12,8,2024-06-20,LOC029,LOC062,Online,100,800,Completed,Bedding,Summer
BK00018,2022-08-22,CUST23564,RV00762,2022-11-03,14,2022-11-17,LOC033,LOC040,Partner,58,812,Completed,Child Seat,Summer
BK00019,2022-05-13,CUST02299,RV00529,2022-08-02,7,2022-08-09,LOC049,LOC081,Walk-in,97,679,Completed,BBQ Kit,Winter
BK00020,2024-03-10,CUST03520,RV00688,2024-04-13,9,2024-04-22,LOC019,LOC044,Walk-in,117,1053,Completed,BBQ Kit,Winter
BK00021,2022-10-04,CUST18299,RV00387,2022-10-19,11,2022-10-30,LOC073,LOC084,Walk-in,138,1518,Completed,GPS,Summer
BK00022,2024-12-26,CUST20920,RV00782,2025-03-09,2,2025-03-11,LOC051,LOC041,Partner,125,250,Completed,GPS,Spring
BK00023,2022-10-08,CUST00064,RV00639,2022-10-27,13,2022-11-09,LOC051,LOC098,Partner,51,663,Completed,GPS,Winter
BK00024,2024-07-22,CUST23977,RV00303,2024-10-05,2,2024-10-07,LOC083,LOC057,App,137,274,Completed,GPS,Spring
BK00025,2024-10-13,CUST29750,RV00489,2025-01-09,14,2025-01-23,LOC020,LOC009,App,103,1442,Completed,BBQ Kit,Summer
BK00026,2022-02-06,CUST18977,RV00629,2022-05-02,2,2022-05-04,LOC067,LOC042,Walk-in,141,282,Cancelled,Bedding,Summer
BK00027,2023-04-13,CUST47006,RV00992,2023-06-15,7,2023-06-22,LOC066,LOC094,App,69,483,Cancelled,Child Seat,Winter
BK00028,2024-05-31,CUST47363,RV00989,2024-08-21,8,2024-08-29,LOC060,LOC036,Partner,144,1152,Completed,GPS,Summer
BK00029,2023-03-21,CUST03022,RV00032,2023-04-16,11,2023-04-27,LOC070,LOC013,Online,182,2002,Completed,Bike Rack,Spring
BK00030,2024-09-13,CUST02364,RV00729,2024-11-01,10,2024-11-11,LOC040,LOC002,Partner,156,1560,Completed,Child Seat,Spring
