log_id,camper_id,timestamp,engine_temp_c,oil_level_pct,tire_pressure_psi,battery_voltage
SNS000000,RV00302,2024-09-24 23:55:43,89.53,90.7,34.2,13.13
SNS000001,RV00376,2025-01-20 21:45:24,88.18,46.4,40.9,12.71
SNS000002,RV00260,2023-10-25 19:04:43,90.88,54.8,37.2,12.49
SNS000003,RV00937,2023-07-05 21:31:53,90.85,75.9,32.2,13.95
SNS000004,RV00791,2024-07-10 17:40:14,98.29,82.2,37.5,12.78
SNS000005,RV00271,2023-08-06 22:05:53,94.96,48.9,35.6,11.71
SNS000006,RV00540,2024-10-21 02:25:38,89.48,45.2,34.1,13.11
SNS000007,RV00871,2024-06-16 18:16:09,88.03,30.7,36.2,12.87
SNS000008,RV00525,2024-08-29 10:30:29,98.35,73.1,38.7,11.99
SNS000009,RV00731,2023-08-03 11:00:54,90.51,66.7,34.2,12.33
SNS000010,RV00975,2024-07-07 04:01:25,87.21,69.4,36.0,12.93
SNS000011,RV00583,2023-05-22 19:36:46,88.15,52.1,35.1,12.17
SNS000012,RV00281,2024-08-01 05:02:05,91.32,92.2,33.0,13.26
SNS000013,RV00436,2023-12-15 03:51:50,92.91,82.9,42.0,11.98
SNS000014,RV00649,2024-12-20 02:21:43,83.38,31.3,32.9,12.74
SNS000015,RV00091,2025-02-27 04:57:20,85.0,97.1,30.3,12.21
SNS000016,RV00462,2024-05-13 21:41:07,90.7,95.2,39.1,11.76
SNS000017,RV00429,2024-06-22 21:45:53,90.73,83.0,37.3,12.97
SNS000018,RV00635,2024-12-21 17:17:21,96.42,99.4,35.3,12.77
SNS000019,RV00160,2023-12-05 13:25:43,87.46,85.5,32.7,13.08
SNS000020,RV00573,2023-10-09 09:05:49,87.97,66.7,41.8,13.03
SNS000021,RV00407,2024-12-02 15:45:08,94.25,99.2,29.3,12.35
SNS000022,RV00677,2023-06-22 18:10:19,90.38,69.8,31.7,11.48
SNS000023,RV00027,2023-12-23 07:48:38,89.76,77.2,27.1,12.44
SNS000024,RV00616,2024-07-12 01:33:08,83.78,49.7,32.6,12.53
SNS000025,RV00276,2024-12-12 17:19:28,87.74,97.2,36.8,12.9
SNS000026,RV00959,2023-12-14 11:57:31,90.2,82.0,36.8,12.92
SNS000027,RV00386,2024-06-04 00:20:15,95.07,49.5,38.6,12.27
SNS000028,RV00914,2024-11-10 18:01:56,96.02,98.8,33.3,12.97
SNS000029,RV00683,2023-05-02 03:25:24,91.5,78.7,40.8,12.6
SNS000030,RV00939,2025-01-06 08:45:35,97.73,67.1,35.8,12.77
SNS000031,RV00929,2024-10-30 19:38:53,95.53,33.8,30.8,13.11
SNS000032,RV00623,2024-11-23 17:51:07,85.25,87.8,31.8,12.5
SNS000033,RV00395,2025-03-30 02:14:40,91.3,42.0,28.9,12.86
SNS000034,RV00289,2023-12-07 10:25:14,94.62,61.4,33.7,12.07
SNS000035,RV00375,2024-11-15 18:58:32,84.53,64.7,32.0,13.31
SNS000036,RV00175,2023-06-15 10:41:29,88.14,64.7,40.6,13.19
SNS000037,RV00914,2025-03-24 19:55:00,103.46,90.5,31.3,12.47
SNS000038,RV00116,2023-08-02 02:52:37,92.69,40.7,36.4,12.62
SNS000039,RV00787,2024-06-04 09:55:38,92.03,68.3,37.7,12.83
SNS000040,RV00600,2025-03-16 17:44:58,82.71,66.5,41.1,12.64
SNS000041,RV00265,2024-06-07 18:52:59,91.64,52.0,38.0,12.81
SNS000042,RV00475,2023-06-30 14:11:56,88.6,62.7,33.0,12.69
