maintenance_id,camper_id,service_date,service_type,cost,location_id
MNT00000,RV00893,2023-08-01,Battery Check,889,LOC052
MNT00001,RV00024,2025-03-05,Battery Check,542,LOC032
MNT00002,RV00091,2024-02-22,Tire Replacement,322,LOC076
MNT00003,RV00205,2023-06-18,Brake Check,798,LOC017
MNT00004,RV00127,2024-04-09,Oil Change,463,LOC059
MNT00005,RV00906,2024-10-02,Battery Check,361,LOC070
MNT00006,RV00520,2023-05-22,Brake Check,444,LOC096
MNT00007,RV00263,2024-05-14,Oil Change,977,LOC093
MNT00008,RV00291,2022-10-04,Tire Replacement,704,LOC086
MNT00009,RV00081,2023-09-01,Brake Check,171,LOC084
MNT00010,RV00457,2023-11-15,Brake Check,227,LOC065
MNT00011,RV00937,2024-12-26,Battery Check,555,LOC086
MNT00012,RV00905,2023-06-18,Tire Replacement,71,LOC069
MNT00013,RV00791,2024-11-15,Brake Check,215,LOC031
MNT00014,RV00474,2023-02-02,Tire Replacement,307,LOC018
MNT00015,RV00414,2023-04-01,Battery Check,464,LOC043
MNT00016,RV00719,2023-04-12,Brake Check,830,LOC011
MNT00017,RV00187,2023-12-10,Tire Replacement,601,LOC099
MNT00018,RV00406,2022-07-11,Brake Check,777,LOC016
MNT00019,RV00378,2024-12-10,Tire Replacement,74,LOC038
MNT00020,RV00499,2022-12-16,Tire Replacement,224,LOC098
MNT00021,RV00047,2024-04-07,Oil Change,577,LOC034
MNT00022,RV00919,2023-09-23,Oil Change,215,LOC076
MNT00023,RV00040,2022-12-17,Tire Replacement,208,LOC017
MNT00024,RV00710,2023-04-02,Brake Check,647,LOC090
MNT00025,RV00557,2022-09-07,Battery Check,980,LOC082
MNT00026,RV00383,2022-07-18,Oil Change,101,LOC029
MNT00027,RV00826,2022-09-14,Battery Check,526,LOC025
MNT00028,RV00597,2023-03-25,Battery Check,531,LOC043
MNT00029,RV00778,2023-05-30,Brake Check,675,LOC025
MNT00030,RV00003,2023-12-23,Brake Check,550,LOC045
MNT00031,RV00739,2023-06-27,Battery Check,742,LOC018
MNT00032,RV00490,2022-06-24,Tire Replacement,108,LOC020
MNT00033,RV00483,2024-01-15,Brake Check,636,LOC050
MNT00034,RV00500,2022-08-10,Oil Change,319,LOC004
MNT00035,RV00665,2022-10-07,Brake Check,216,LOC090
MNT00036,RV00719,2025-04-10,Brake Check,171,LOC080
MNT00037,RV00325,2025-03-02,Brake Check,298,LOC037
MNT00038,RV00226,2022-08-04,Tire Replacement,749,LOC071
MNT00039,RV00417,2023-02-15,Tire Replacement,365,LOC100
MNT00040,RV00172,2024-09-24,Oil Change,778,LOC009
MNT00041,RV00585,2022-11-27,Battery Check,247,LOC088
MNT00042,RV00986,2025-01-26,Brake Check,214,LOC007
MNT00043,RV00228,2024-06-11,Battery Check,774,LOC049
MNT00044,RV00229,2024-05-17,Tire Replacement,683,LOC100
MNT00045,RV00200,2023-08-11,Battery Check,344,LOC048
MNT00046,RV00928,2023-08-06,Oil Change,700,LOC016
MNT00047,RV00873,2024-03-22,Oil Change,821,LOC083
MNT00048,RV00138,2025-01-20,Brake Check,149,LOC060
MNT00049,RV00397,2024-01-12,Tire Replacement,559,LOC037
MNT00050,RV00273,2024-09-12,Battery Check,116,LOC077
MNT00051,RV00281,2022-08-19,Oil Change,373,LOC002
MNT00052,RV00833,2023-12-19,Brake Check,380,LOC071
MNT00053,RV00147,2023-05-31,Oil Change,578,LOC096
MNT00054,RV00951,2025-02-21,Brake Check,471,LOC032
MNT00055,RV00639,2024-11-25,Tire Replacement,748,LOC041
MNT00056,RV00120,2024-02-24,Oil Change,980,LOC020
MNT00057,RV00711,2023-03-17,Tire Replacement,722,LOC041
MNT00058,RV00537,2023-08-06,Oil Change,808,LOC061
MNT00059,RV00165,2023-07-23,Tire Replacement,454,LOC027
MNT00060,RV00922,2023-11-07,Battery Check,360,LOC034
MNT00061,RV00683,2023-06-22,Battery Check,924,LOC035
MNT00062,RV00402,2023-02-14,Brake Check,224,LOC056
MNT00063,RV00095,2023-02-03,Tire Replacement,190,LOC100
MNT00064,RV00081,2022-06-28,Brake Check,624,LOC078
MNT00065,RV00254,2024-03-31,Brake Check,757,LOC096
MNT00066,RV00288,2024-07-07,Oil Change,531,LOC013
MNT00067,RV00294,2023-09-28,Brake Check,582,LOC065
MNT00068,RV00419,2022-09-07,Oil Change,791,LOC023
MNT00069,RV00264,2025-02-05,Oil Change,628,LOC067
MNT00070,RV00001,2025-03-28,Battery Check,870,LOC015
MNT00071,RV00888,2023-06-15,Brake Check,869,LOC074
MNT00072,RV00108,2024-02-18,Oil Change,589,LOC029
MNT00073,RV00224,2024-12-07,Oil Change,805,LOC077
MNT00074,RV00943,2023-09-12,Brake Check,235,LOC013
MNT00075,RV00806,2025-03-08,Tire Replacement,159,LOC074
MNT00076,RV00974,2024-01-12,Tire Replacement,75,LOC097
MNT00077,RV00789,2023-07-14,Oil Change,808,LOC082
MNT00078,RV00783,2023-02-03,Battery Check,287,LOC035
MNT00079,RV00474,2022-08-15,Oil Change,359,LOC092
MNT00080,RV00984,2024-09-10,Brake Check,358,LOC031
MNT00081,RV00438,2022-06-14,Brake Check,197,LOC028
MNT00082,RV00129,2024-06-20,Brake Check,153,LOC064
MNT00083,RV00080,2023-09-17,Brake Check,574,LOC074
MNT00084,RV00266,2024-03-12,Battery Check,507,LOC029
MNT00085,RV00311,2025-03-30,Battery Check,539,LOC086
MNT00086,RV00030,2024-04-06,Tire Replacement,988,LOC095
MNT00087,RV00070,2022-09-10,Tire Replacement,623,LOC094
MNT00088,RV00004,2025-01-25,Tire Replacement,60,LOC004
MNT00089,RV00468,2023-02-08,Brake Check,451,LOC013
MNT00090,RV00112,2023-09-26,Brake Check,733,LOC043
MNT00091,RV00610,2023-07-04,Oil Change,871,LOC070
MNT00092,RV00395,2024-05-09,Brake Check,947,LOC005
MNT00093,RV00787,2023-12-21,Brake Check,558,LOC091
MNT00094,RV00794,2022-07-23,Oil Change,312,LOC076
MNT00095,RV00034,2023-08-14,Brake Check,284,LOC015
MNT00096,RV00381,2024-01-18,Oil Change,689,LOC067
MNT00097,RV00694,2024-10-05,Battery Check,660,LOC031
MNT00098,RV00951,2023-03-28,Tire Replacement,297,LOC067
MNT00099,RV00645,2023-07-16,Battery Check,246,LOC091
MNT00100,RV00769,2024-12-28,Oil Change,420,LOC073
MNT00101,RV00778,2023-07-16,Brake Check,986,LOC099
MNT00102,RV00610,2023-12-20,Brake Check,508,LOC088
MNT00103,RV00587,2024-02-19,Brake Check,671,LOC049
MNT00104,RV00247,2022-07-23,Tire Replacement,599,LOC099
MNT00105,RV00866,2022-08-12,Oil Change,261,LOC088
MNT00106,RV00151,2024-05-31,Battery Check,601,LOC030
MNT00107,RV00199,2023-09-28,Tire Replacement,464,LOC026
MNT00108,RV00748,2024-05-22,Oil Change,985,LOC026
MNT00109,RV00903,2024-03-31,Oil Change,317,LOC018
MNT00110,RV00641,2022-11-15,Brake Check,906,LOC044
MNT00111,RV00995,2024-08-31,Brake Check,121,LOC020
MNT00112,RV00773,2023-09-03,Oil Change,215,LOC009
