Location,Bedroom,bathroom,Price,House_size_sqm,LandSize_acres,propertyType
Runda,4.0,4.0,350000000,,0.5,Townhouse
Karen,,,30000000,,0.5,Vacant Land
Westlands,,,325000000,,0.5,Vacant Land
Kitisuru,5.0,5.0,80000000,,0.5,Townhouse
Kileleshwa,4.0,4.0,25500000,230.0,,Apartment
Runda,6.0,6.0,300000000,,0.5,Townhouse
Runda,4.0,4.0,160000000,,0.5,Townhouse
Kilimani,2.0,2.0,9500000,105.0,,Apartment
Thigiri,4.0,4.0,150000000,,0.5,Townhouse
Kileleshwa,4.0,4.0,42000000,280.0,,Apartment
Kyuna,5.0,4.0,115300000,586.0,,Townhouse
Nyari,5.0,5.0,115000000,,1.0,Townhouse
Runda,4.0,4.0,35000000,,0.25,Townhouse
Nyari,6.0,6.0,220000000,,0.75,Townhouse
Nyari,6.0,6.0,220000000,,0.75,Townhouse
Kilimani,2.0,2.0,9500000,105.0,,Apartment
Kilimani,2.0,2.0,9000000,90.0,,Apartment
Kilimani,2.0,1.0,7200000,70.0,,Apartment
Runda,8.0,8.0,200000000,,1.0,Townhouse
Lavington,4.0,3.0,68000000,399.0,,Townhouse
Westlands,3.0,2.0,28390000,203.0,,Apartment
Westlands,4.0,3.0,17500000,230.0,,Apartment
Westlands,3.0,4.0,28390000,203.0,,Apartment
Nyari,5.0,4.0,115000000,,1.0,Townhouse
Loresho,,,18000000,,0.12,Vacant Land
Nyari,6.0,6.0,220000000,,0.75,Townhouse
Runda,8.0,7.0,200000000,,1.0,Townhouse
Kitisuru,4.0,4.0,38000000,,0.5,Townhouse
Lavington,5.0,3.0,78000000,300.0,,Townhouse
Lavington,5.0,4.0,75000000,423.0,,Townhouse
Parklands,3.0,2.0,32000000,283.0,,Apartment
Lavington,5.0,3.0,140000000,385.0,,Townhouse
Kilimani,2.0,2.0,9000000,90.0,,Apartment
Kitisuru,,,50000000,,0.5,Vacant Land
Loresho,,,70000000,,0.56,Vacant Land
Westlands,2.0,2.0,12000000,150.0,,Apartment
Kitisuru,4.0,3.0,322550000,,1.75,Townhouse
Westlands,,,380000000,,1.0,Vacant Land
Riverside,1.0,1.0,8700000,50.0,,Apartment
Muthaiga North,4.0,3.0,160000000,,1.0,Townhouse
Runda,4.0,4.0,160000000,,0.5,Townhouse
Rosslyn,,,240000000,,2.0,Vacant Land
Westlands,2.0,2.0,12000000,90.0,,Apartment
Westlands,1.0,1.0,8000000,57.0,,Apartment
Westlands,2.0,1.0,12600000,90.0,,Apartment
Kilimani,2.0,1.0,7000000,65.0,,Apartment
Runda,8.0,7.0,200000000,1.0,,Townhouse
Lavington,4.0,3.0,68000000,399.0,,Townhouse
Westlands,2.0,1.0,18330000,141.0,,Apartment
Kileleshwa,4.0,4.0,25500000,260.0,,Apartment
Lavington,5.0,4.0,75000000,,0.5,Townhouse
Lavington,5.0,3.0,140000000,,0.5,Townhouse
Lavington,3.0,2.0,20500000,186.0,,Apartment
Runda,4.0,4.0,160000000,,0.5,Townhouse
Kilimani,2.0,2.0,9000000,105.0,,Apartment
Thigiri,4.0,4.0,150000000,,0.5,Townhouse
Kilimani,2.0,1.0,7000000,65.0,,Apartment
Westlands,2.0,1.0,16285499,90.0,,Apartment
Kilimani,2.0,1.0,12500000,96.0,,Apartment
Kilimani,3.0,2.0,23500000,159.0,,Apartment
Kileleshwa,2.0,2.0,9000000,86.0,,Apartment
Kilimani,5.0,2.0,33500000,302.0,,Apartment
Kileleshwa,3.0,2.0,16000000,160.0,,Apartment
Kilimani,2.0,1.0,21500000,139.0,,Apartment
Kilimani,3.0,2.0,22500000,202.0,,Apartment
Kilimani,2.0,1.0,16000000,125.0,,Apartment
Karen,,,45000000,,0.5,Vacant Land
Lavington,4.0,2.0,24000000,223.0,,Apartment
Westlands,4.0,2.0,17500000,230.0,,Apartment
Kilimani,5.0,3.0,62500000,445.0,,Apartment
Kileleshwa,4.0,2.0,34000000,338.0,,Apartment
Kileleshwa,1.0,1.0,5700000,48.0,,Apartment
Kileleshwa,1.0,1.0,6500000,65.0,,Apartment
Riverside,2.0,2.0,13500000,101.0,,Apartment
Loresho,,,70000000,,0.56,Vacant Land
Kileleshwa,3.0,2.0,16000000,160.0,,Apartment
Rosslyn,,,948000000,,7.9,Vacant Land
Rosslyn,,,948000000,,7.9,Vacant Land
Karen,,,30000000,,0.5,Vacant Land
Lavington,4.0,4.0,142000000,800.0,0.5,Townhouse
Runda,8.0,7.0,200000000,101.0,,Townhouse
Riverside,2.0,2.0,13500000,,1.0,Apartment
Muthaiga,5.0,5.0,300000000,,0.56,Townhouse
Loresho,,,70000000,,0.4,Vacant Land
Kitisuru,,,45000000,,0.5,Vacant Land
Kileleshwa,2.0,2.0,9000000,,,Apartment
Runda,4.0,4.0,350000000,223.0,,Townhouse
Lavington,4.0,2.0,24000000,186.0,,Apartment
Lavington,3.0,2.0,20500000,,0.5,Apartment
Westlands,,,325000000,,0.5,Vacant Land
Runda,6.0,6.0,300000000,,0.5,Townhouse
Karen,5.0,5.0,100000000,86.0,,Townhouse
Lavington,2.0,1.0,8500000,,0.5,Apartment
Karen,4.0,4.0,90000000,61.0,,Townhouse
Lavington,1.0,1.0,6500000,1.0,0.5,Apartment
Runda,4.0,4.0,350000000,,1.0,Townhouse
Westlands,,,350000000,,,Vacant Land
Kilimani,3.0,2.0,23500000,230.0,,Apartment
Westlands,4.0,2.0,17500000,,0.5,Apartment
Karen,4.0,4.0,90000000,,,Townhouse
Kilimani,5.0,2.0,33500000,302.0,,Apartment
Kilimani,3.0,2.0,22500000,202.0,,Apartment
Kilimani,2.0,1.0,16000000,125.0,,Apartment
Kilimani,3.0,2.0,25000000,150.0,,Apartment
Kilimani,5.0,2.0,39000000,150.0,,Apartment
Lavington,4.0,3.0,68000000,399.0,,Townhouse
Kilimani,2.0,1.0,16000000,125.0,,Apartment
Runda,8.0,7.0,200000000,,0.5,Townhouse
Kitisuru,4.0,4.0,38000000,,0.5,Townhouse
Riverside,3.0,2.0,20500000,168.0,,Apartment
Kilimani,5.0,3.0,62500000,445.0,,Apartment
Lavington,4.0,3.0,72000000,400.0,,Townhouse
Kitisuru,4.0,3.0,322550000,,1.75,Townhouse
Lavington,2.0,2.0,16000000,150.0,,Apartment
Lavington,5.0,4.0,75000000,,0.5,Townhouse
Lavington,5.0,3.0,140000000,,0.5,Townhouse
Kitisuru,5.0,5.0,80000000,,0.5,Townhouse
Runda,6.0,6.0,300000000,,0.5,Townhouse
Kilimani,3.0,2.0,27000000,150.0,,Apartment
Loresho,4.0,4.0,150000000,,1.0,Townhouse
Kilimani,4.0,,22000000,,,Apartment
Kileleshwa,3.0,2.0,16000000,,,Apartment
Riverside,3.0,2.0,40000000,,,Apartment
Karen,5.0,5.0,79000000,,,Townhouse
Lavington,,,110000000,,,Vacant Land
Kitisuru,5.0,5.0,350000000,,,Townhouse
Kabete,5.0,2.0,110000000,,,Townhouse
Kileleshwa,3.0,2.0,16000000,,,Apartment
Kilimani,3.0,2.0,29000000,,,Apartment
Kilimani,3.0,2.0,26000000,,,Apartment
Thome,3.0,3.0,10000000,,,Apartment
Karen,6.0,6.0,99000000,302.0,,Townhouse
Kilimani,5.0,2.0,33500000,125.0,,Apartment
Kilimani,2.0,1.0,16000000,130.0,,Apartment
